,flow1,flow2,flow3,flow4,flow5,flow6,flow7,flow8,flow9,flow10,flow11,flow12
1188,30.889999309554696,76.70999828539789,32.3799992762506,0.2099999953061342,4.619999896734953,3.919999912381172,89.2199980057776,0.4099999908357858,18.769999580457807,1.479999966919422,4.179999906569719,9.249999793246388
1189,29.7399993352592,76.33999829366803,31.619999293237925,0.1499999966472387,3.4599999226629734,3.63999991863966,90.43999797850849,0.2999999932944774,15.269999658688905,1.289999971166253,3.0999999307096004,8.16999981738627
1190,29.259999345988035,75.61999830976129,32.6699992697686,0.1199999973177909,2.629999941214919,3.36999992467463,89.96999798901379,0.2699999939650297,12.889999711886048,0.9999999776482582,2.389999946579337,7.409999834373593
1191,28.909999353811145,75.06999832205474,33.19999925792217,0.7199999839067459,2.12999995239079,3.1199999302625656,88.17999802902341,0.549999987706542,11.029999753460288,3.0999999307096004,2.8399999365210533,7.209999838843942
1192,28.359999366104603,74.2899983394891,32.3799992762506,1.1899999734014273,18.209999592974786,2.879999935626984,86.53999806568027,0.5699999872595072,10.049999775364997,1.5499999653548002,4.499999899417162,11.289999747648835
1193,27.819999378174543,73.83999834954739,30.64999931491912,0.2599999941885471,6.489999854937196,2.679999940097332,85.01999809965491,0.2299999948590994,9.119999796152117,0.8399999812245369,4.379999902099371,15.699999649077654
1194,27.349999388679866,73.01999836787581,28.529999362304807,0.30999999307096,3.4099999237805605,2.4699999447911978,81.95999816805124,0.1999999955296516,8.489999810233712,0.7199999839067459,2.369999947026372,13.019999708980322
1195,26.769999401643872,72.48999837972224,26.399999409914017,0.3199999928474426,3.5599999204277992,2.289999948814512,77.87999825924635,0.1999999955296516,8.419999811798334,0.6199999861419201,1.8499999586492777,9.629999784752728
1196,26.21999941393733,71.8799983933568,24.47999945282936,0.2599999941885471,3.299999926239252,2.1199999526143074,72.91999837011099,0.1699999962002039,8.079999819397926,0.5799999870359898,1.719999961555004,7.949999822303653
1197,25.70999942533672,71.31999840587378,22.749999491497874,0.1499999966472387,2.6499999407678843,1.979999955743552,68.12999847717583,0.1599999964237213,7.579999830573797,0.4999999888241291,1.4899999666959047,6.989999843761325
1198,25.20999943651259,70.74999841861427,21.18999952636659,0.0999999977648258,2.149999951943755,1.839999958872795,64.15999856591225,0.1499999966472387,7.229999838396907,0.4499999899417162,1.409999968484044,6.319999858736992
1199,24.70999944768846,70.18999843113124,19.759999558329586,0.0899999979883432,1.7799999602138996,1.719999961555004,61.14999863319099,0.1799999959766864,7.029999842867255,0.3799999915063381,1.479999966919422,5.849999869242311
1200,24.21999945864081,69.66999844275415,18.459999587386847,0.0799999982118606,1.5399999655783176,1.5999999642372131,58.8499986846,0.1599999964237213,6.909999845549464,0.3399999924004078,1.459999967366457,5.519999876618385
1201,23.769999468699098,69.21999845281243,17.279999613761902,0.0499999988824129,1.4299999680370092,1.4899999666959047,56.87999872863293,0.1399999968707561,6.819999847561121,0.30999999307096,1.2999999709427357,5.359999880194664
1202,23.649999471381307,68.76999846287072,16.209999637678266,0.0499999988824129,1.3499999698251486,1.3999999687075615,55.06999876908958,0.1299999970942735,6.769999848678708,0.2899999935179949,1.1599999740719795,5.759999871253967
1203,23.809999467805028,68.35999847203493,15.229999659582973,0.0499999988824129,1.7399999611079693,1.3099999707192185,53.40999880619347,0.1299999970942735,6.719999849796295,0.2799999937415123,1.099999975413084,6.519999854266644
1204,23.809999467805028,67.93999848142266,14.349999679252504,0.0499999988824129,1.8499999586492777,1.2299999725073576,51.94999883882701,0.1199999973177909,6.6599998511374,0.2599999941885471,1.0499999765306711,6.629999851807952
1205,24.349999455735087,67.76999848522246,13.55999969691038,0.0399999991059303,1.6799999624490738,1.1599999740719795,50.42999887280166,0.1199999973177909,6.599999852478504,0.2399999946355819,1.029999976977706,6.249999860301614
1206,23.989999463781714,67.8599984832108,12.899999711662533,0.0499999988824129,1.7799999602138996,1.099999975413084,48.87999890744686,0.1199999973177909,6.539999853819609,0.2299999948590994,1.1399999745190144,5.889999868348241
